sw00utt/sw_0005_4646.utt:A:0:1	do	VBP	<f/>
	you	PRP	<f/>
	know	VB	<f/>
	anyone	NN	<f/>
	that	WDT	<f/>
	uh	UH	<e/>
	is	VBZ	<c/>
	is	VBZ	<rm-1/><rpEndSub/>
	in	IN	<f/>
	a	DT	<f/>
	nursing	NN	<f/>
	home	NN	<f/>
	or	CC	<f/>
	has	VBZ	<f/>
	ever	RB	<f/>
	been	VBN	<f/>
	in	IN	<f/>
	$unc$one	CD	<f/>
sw00utt/sw_0005_4646.utt:B:1:2	no	UH	<f/>
sw00utt/sw_0005_4646.utt:B:2:2	but	CC	<f/>
	i	PRP	<f/>
	my	PRP$	<rm-1/><rpMid/>
	grandparents	NNS	<rpEndSub/>
	were	VBD	<f/>
	looking	VBG	<f/>
	into	IN	<f/>
	it	PRP	<f/>
	before	RB	<f/>
sw00utt/sw_0005_4646.utt:B:3:2	so	RB	<f/>
	i	PRP	<f/>
	know	VBP	<f/>
	what	WP	<f/>
	theyve	PRPVBP	<f/>
	said	VBN	<f/>
sw00utt/sw_0005_4646.utt:A:4:3	uh-huh	UH	<f/>
sw00utt/sw_0005_4646.utt:B:5:4	uh-huh	UH	<f/>
sw00utt/sw_0005_4646.utt:A:6:5	well	UH	<e/>
	im	PRPVBP	<c/>
	trying	VBG	<f/>
	to	TO	<f/>
	think	VB	<f/>
sw00utt/sw_0005_4646.utt:A:7:5	my	PRP$	<f/>
	uh	UH	<e/>
	uh	UH	<e/>
	wifes	NNPOS	<c/>
	grandmother	NN	<f/>
	had	VBD	<f/>
	alzheimers	NNPPOS	<f/>
sw00utt/sw_0005_4646.utt:A:8:5	and	CC	<f/>
	they	PRP	<f/>
	were	VBD	<f/>
	going	VBG	<f/>
	to	TO	<f/>
	put	VB	<f/>
	her	PRP	<f/>
	into	IN	<f/>
	a	DT	<f/>
	a	DT	<rm-1/><rpEndSub/>
	nursing	NN	<f/>
	home	NN	<f/>
sw00utt/sw_0005_4646.utt:A:9:5	and	CC	<f/>
	uh	UH	<e/>
	they	PRP	<c/>
	when	WRB	<rm-1/><rpMid/>
	they	PRP	<rpEndSub/>
	put	VBD	<f/>
	her	PRP	<f/>
	in	IN	<f/>
	she	PRP	<f/>
	had	VBD	<f/>
	all	DT	<f/>
	kinds	NNS	<f/>
	of	IN	<f/>
	trouble	NN	<f/>
sw00utt/sw_0005_4646.utt:A:10:5	and	CC	<f/>
	the	DT	<f/>
	nursing	NN	<f/>
	home	NN	<f/>
	made	VBD	<f/>
	them	PRP	<f/>
	come	VB	<f/>
	and	CC	<f/>
	take	VB	<f/>
	her	PRP	<f/>
	back	RB	<f/>
	because	IN	<f/>
	she	PRP	<f/>
	was	VBD	<f/>
	being	VBG	<f/>
	a	DT	<f/>
	a	DT	<rm-1/><rpEndSub/>
	you	PRP	<e/>
	know	VBP	<e/>
	a	DT	<rm-2/><rpEndSub/>
	a	DT	<rm-3/><rpEndSub/>
	nuisance	NN	<f/>
	or	CC	<f/>
	worse	JJR	<f/>
	than	IN	<f/>
	a	DT	<f/>
	nuisance	NN	<f/>
sw00utt/sw_0005_4646.utt:A:11:5	i	PRP	<e/>
	mean	VBP	<e/>
	she	PRP	<c/>
	sort	RB	<f/>
	of	RB	<f/>
	went	VBD	<f/>
	you	PRP	<e/>
	know	VBP	<e/>
	bananas	JJ	<c/>
sw00utt/sw_0005_4646.utt:B:12:6	oh	UH	<e/>
	they	PRP	<c/>
	thought	VBD	<f/>
	it	PRP	<f/>
	was	VBD	<f/>
	too	RB	<f/>
	much	JJ	<f/>
	of	IN	<f/>
	a	DT	<f/>
	bother	NN	<f/>
sw00utt/sw_0005_4646.utt:A:14:7	and	CC	<f/>
	they	PRP	<f/>
	couldnt	MDRB	<f/>
	couldnt	MDRB	<rm-1/><rpEndSub/>
	deal	VB	<f/>
	with	IN	<f/>
	her	PRP	<f/>
sw00utt/sw_0005_4646.utt:A:15:7	so	RB	<f/>
	i	PRP	<f/>
	guess	VBP	<f/>
	you	PRP	<f/>
	need	VBP	<f/>
	to	TO	<f/>
	uh	UH	<e/>
	know	VB	<c/>
	whether	IN	<f/>
	its	PRPBES	<f/>
	a	PDT	<f/>
	you	PRP	<e/>
	know	VBP	<e/>
	a	PDT	<rm-1/><rpEndSub/>
	no	DT	<f/>
	deposit	NN	<f/>
	no	DT	<f/>
	return	NN	<f/>
	kind	NN	<f/>
	of	IN	<f/>
	thing	NN	<f/>
	whether	IN	<f/>
sw00utt/sw_0005_4646.utt:B:16:8	right	UH	<f/>
sw00utt/sw_0005_4646.utt:B:17:8	if	IN	<f/>
	theyre	PRPVBP	<f/>
	equipped	JJ	<f/>
	too	^TO	<f/>
	to	TO	<rm-1/><rpEndSub/>
	handle	VB	<f/>
	the	DT	<f/>
	kind	NN	<f/>
	of	IN	<f/>
	patients	NNS	<f/>
	youre	PRPVBP	<f/>
	going	VBG	<f/>
	to	TO	<f/>
	have	VB	<f/>
	you	PRP	<e/>
	know	VBP	<e/>
	put	VB	<c/>
	in	IN	<f/>
