4646:A:0:qy	(1:0:0)	do	VBP	<f/>
	(1:0:1)	you	PRP	<f/>
	(1:0:2)	know	VB	<f/>
	(1:0:3)	anyone	NN	<f/>
	(1:0:4)	that	WDT	<f/>
	(1:0:6)	uh	UH	<e/>
	(1:0:9)	is	VBZ	<rms id="7"/>
	(1:0:11)	is	VBZ	<rps id="7"/><rpnrep id="7"/>
	(1:0:13)	in	IN	<f/>
	(1:0:14)	a	DT	<f/>
	(1:0:15)	nursing	NN	<f/>
	(1:0:16)	home	NN	<f/>
	(1:0:17)	or	CC	<f/>
	(1:0:18)	has	VBZ	<f/>
	(1:0:19)	ever	RB	<f/>
	(1:0:20)	been	VBN	<f/>
	(1:0:21)	in	IN	<f/>
	(1:0:22)	$unc$one	CD	<f/>
4646:B:1:nn	(2:1:0)	no	UH	<f/>
4646:B:2:sd	(2:2:1)	but	CC	<f/>
	(2:2:4)	i	PRP	<rms id="2"/>
	(2:2:6)	my	PRP$	<rps id="2"/>
	(2:2:7)	grandparents	NNS	<rpnsub id="2"/>
	(2:2:9)	were	VBD	<f/>
	(2:2:10)	looking	VBG	<f/>
	(2:2:11)	into	IN	<f/>
	(2:2:12)	it	PRP	<f/>
	(2:2:13)	before	RB	<f/>
4646:B:3:sd	(2:3:1)	so	RB	<f/>
	(2:3:3)	i	PRP	<f/>
	(2:3:4)	know	VBP	<f/>
	(2:3:5)	what	WP	<f/>
	(2:3:6)	theyve	PRPVBP	<f/>
	(2:3:7)	said	VBN	<f/>
4646:A:4:b	(3:4:0)	uh-huh	UH	<f/>
4646:B:5:b^m	(4:5:0)	uh-huh	UH	<f/>
4646:A:6:^h	(5:6:1)	well	UH	<e/>
	(5:6:3)	im	PRPVBP	<f/>
	(5:6:4)	trying	VBG	<f/>
	(5:6:5)	to	TO	<f/>
	(5:6:6)	think	VB	<f/>
4646:A:7:sd	(5:7:0)	my	PRP$	<f/>
	(5:7:2)	uh	UH	<e/>
	(5:7:5)	uh	UH	<e/>
	(5:7:7)	wifes	NNPOS	<f/>
	(5:7:8)	grandmother	NN	<f/>
	(5:7:9)	had	VBD	<f/>
	(5:7:10)	alzheimers	NNPPOS	<f/>
4646:A:8:sd	(5:8:1)	and	CC	<f/>
	(5:8:3)	they	PRP	<f/>
	(5:8:4)	were	VBD	<f/>
	(5:8:5)	going	VBG	<f/>
	(5:8:6)	to	TO	<f/>
	(5:8:7)	put	VB	<f/>
	(5:8:8)	her	PRP	<f/>
	(5:8:9)	into	IN	<f/>
	(5:8:11)	a	DT	<rms id="9"/>
	(5:8:13)	a	DT	<rps id="9"/><rpnrep id="9"/>
	(5:8:15)	nursing	NN	<f/>
	(5:8:16)	home	NN	<f/>
4646:A:9:sd	(5:9:1)	and	CC	<f/>
	(5:9:4)	uh	UH	<e/>
	(5:9:7)	they	PRP	<rms id="3"/>
	(5:9:9)	when	WRB	<rps id="3"/>
	(5:9:10)	they	PRP	<rpnsub id="3"/>
	(5:9:12)	put	VBD	<f/>
	(5:9:13)	her	PRP	<f/>
	(5:9:14)	in	IN	<f/>
	(5:9:15)	she	PRP	<f/>
	(5:9:16)	had	VBD	<f/>
	(5:9:17)	all	DT	<f/>
	(5:9:18)	kinds	NNS	<f/>
	(5:9:19)	of	IN	<f/>
	(5:9:20)	trouble	NN	<f/>
4646:A:10:sd	(5:10:1)	and	CC	<f/>
	(5:10:3)	the	DT	<f/>
	(5:10:4)	nursing	NN	<f/>
	(5:10:5)	home	NN	<f/>
	(5:10:6)	made	VBD	<f/>
	(5:10:7)	them	PRP	<f/>
	(5:10:8)	come	VB	<f/>
	(5:10:10)	and	CC	<f/>
	(5:10:11)	take	VB	<f/>
	(5:10:12)	her	PRP	<f/>
	(5:10:13)	back	RB	<f/>
	(5:10:14)	because	IN	<f/>
	(5:10:15)	she	PRP	<f/>
	(5:10:17)	was	VBD	<f/>
	(5:10:18)	being	VBG	<f/>
	(5:10:22)	a	DT	<rms id="16"/><rms id="19"/><rms id="20"/>
	(5:10:24)	a	DT	<rps id="16"/><rm id="19"/><rm id="20"/><rpnrep id="16"/>
	(5:10:28)	you	PRP	<e/><i id="19"/>
	(5:10:29)	know	VBP	<e/><i id="19"/>
	(5:10:31)	a	DT	<rps id="19"/><rm id="20"/><rpnsub id="19"/>
	(5:10:34)	a	DT	<rps id="20"/><rpnsub id="20"/>
	(5:10:36)	nuisance	NN	<f/>
	(5:10:38)	or	CC	<f/>
	(5:10:39)	worse	JJR	<f/>
	(5:10:40)	than	IN	<f/>
	(5:10:41)	a	DT	<f/>
	(5:10:42)	nuisance	NN	<f/>
4646:A:11:sd	(5:11:1)	i	PRP	<e/>
	(5:11:2)	mean	VBP	<e/>
	(7:13:1)	she	PRP	<f/>
	(7:13:2)	sort	RB	<f/>
	(7:13:3)	of	RB	<f/>
	(7:13:4)	went	VBD	<f/>
	(7:13:6)	you	PRP	<e/>
	(7:13:7)	know	VBP	<e/>
	(7:13:9)	bananas	JJ	<f/>
4646:B:12:bf	(6:12:2)	oh	UH	<e/>
	(6:12:4)	they	PRP	<f/>
	(6:12:5)	thought	VBD	<f/>
	(6:12:6)	it	PRP	<f/>
	(6:12:7)	was	VBD	<f/>
	(6:12:8)	too	RB	<f/>
	(6:12:9)	much	JJ	<f/>
	(6:12:10)	of	IN	<f/>
	(6:12:11)	a	DT	<f/>
	(6:12:12)	bother	NN	<f/>
4646:A:14:sd	(7:14:1)	and	CC	<f/>
	(7:14:3)	they	PRP	<f/>
	(7:14:5)	couldnt	MDRB	<rms id="3"/>
	(7:14:7)	couldnt	MDRB	<rps id="3"/><rpnrep id="3"/>
	(7:14:9)	deal	VB	<f/>
	(7:14:10)	with	IN	<f/>
	(7:14:11)	her	PRP	<f/>
4646:A:15:sd	(7:15:1)	so	RB	<f/>
	(7:15:3)	i	PRP	<f/>
	(7:15:4)	guess	VBP	<f/>
	(7:15:5)	you	PRP	<f/>
	(7:15:6)	need	VBP	<f/>
