1-2->	c_f_c	c_e_c	t_f_c	t_e_c	t_f_t	t_e_t	c_f_t	c_e_t	c_rpSE_c	c_rpSE_t	c_rpSM_c	c_rpM_c	c_rpE_c	c_rpE_t	c_eR_c	c_i_c
c_f_c	1	1	0	0	0	0	1	1	1	1	1	0	0	0	0	1
c_e_c	1	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0
t_f_c	1	1	0	0	0	0	1	1	1	1	1	0	0	0	0	1
t_e_c	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0
t_f_t	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0
t_e_t	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0
c_f_t	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0
c_e_t	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0
c_rpSE_c	1	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1
c_rpSE_t	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0
c_rpSM_c	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1
c_rpM_c	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1
c_rpE_c	1	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1
c_rpE_t	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0
c_eR_c	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0
c_i_c	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1
s	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0
