exp_id,model,lr,decay,seed,window,bs,emb_dimension,n_hidden,n_epochs,train_data,loss_function,reg,pos,acoustic,embeddings,update_embeddings,batch_size,tags,utterances_segmented,end_utterance,notes
1,elman,0.0627142537,False,1000000,3,9,100,100,43,swbd_disf_train_1,nll,None,False,False,None,True,word,swbd_disf1_rpMid,True,False,
2,elman,0.0627142537,False,1000000,3,9,100,100,47,swbd_disf_train_1,nll,None,False,False,None,True,word,swbd_disf1_rpMid,True,False,
3,elman,0.1,False,1000000,3,9,100,100,42,swbd_disf_train_1,nll,None,False,False,None,True,word,swbd_disf1_rpMid,True,False,
4,elman,0.0627142537,False,1000000,3,9,100,100,43,swbd_disf_train_1,nll,None,False,False,None,True,word,swbd_disf1_rpMid,True,False,
5,elman,0.0627142537,True,1000000,3,9,100,100,21,swbd_heldout,nll,None,False,False,None,True,word,swbd_disf1_rpMid,True,False,
6,elman,0.0627142537,True,1000000,3,9,100,100,27,swbd_disf_train_1,nll,None,False,False,None,True,word,swbd_disf1_rpMidd,True,False,
7,elman,0.0627142537,True,1000000,3,9,100,100,59,swbd_disf_train_1,nll,None,False,False,None,True,word,swbd_disf1_rpMid,True,False,
8,elman,0.01,False,1000000,3,9,100,100,43,swbd_disf_train_1,nll,None,False,False,None,True,word,swbd_disf1_rpMidd,True,False,
9,elman,0.005,False,1000000,3,9,100,100,43,swbd_disf_train_1,nll,None,False,False,None,True,word,swbd_disf1_rpMid,True,False,
10,elman,0.005,False,1000000,3,9,100,100,34,swbd_disf_train_1,nll,None,False,False,None,True,word,swbd_disf1_rpMid,True,False,classes=28_from_now_on
11,elman,0.005,False,1000000,3,9,100,100,22,swbd_disf_train_1,nll,L2(0.00001),False,False,None,True,word,swbd_disf1_rpMid,True,False,
12,elman,0.005,False,1000000,3,9,100,100,64,swbd_disf_train_1,nll,L2(0.0001),False,False,None,True,word,swbd_disf1_rpMid,True,False,
13,elman,0.0627142537,False,1000000,3,9,100,100,42,train,nll,L2(0.0001),False,False,None,True,word,swbd_disf1,True,False,got_rid_of_rpMid_classes=27
14,elman,0.005,False,1000000,3,9,50,100,52,swbd_disf_train_1,nll,L2(0.00001),False,False,None,True,word,swbd_disf1,True,False,trying_smaller_embedding
15,elman,0.005,False,1000000,3,9,50,100,29,swbd_disf_train_1,nll,L2(0.00001),False,False,swbd_clean_50,True,word,swbd_disf1,True,False,trying_pre_trained_swbd_embeddings
16,elman,0.005,False,1000000,3,9,50,50,50,swbd_disf_train_1,nll,L2(0.00001),False,False,swbd_clean_50,True,word,swbd_disf1,True,False,trying_smaller_hidden_layer
17,elman,0.005,False,1000000,1,9,50,50,150,swbd_disf_train_1,nll,L2(0.00001),False,False,swbd_clean_50,True,word,swbd_disf1,True,False,trying_1gram_context_window
18,elman,0.005,False,1000000,2,9,50,50,150,swbd_disf_train_1,nll,L2(0.00001),False,False,swbd_clean_50,True,word,swbd_disf1,True,False,trying_2gram_context_window
19,elman,0.005,False,1000000,4,9,50,50,150,swbd_disf_train_1,nll,L2(0.00001),False,False,swbd_clean_50,True,word,swbd_disf1,True,False,trying_4gram_context_window
20,elman,0.005,False,1000000,3,9,50,50,17,swbd_disf_train_1,nll,L2(0.00001),False,False,bnc_swbd_clean_50,True,word,swbd_disf1,True,False,trying_bnc_embeddings_stopped_as_need_to_check_others
21,elman,0.005,False,1000000,2,9,50,50,150,swbd_disf_train_1,nll,L2(0.00001),True,False,swbd_clean_50,True,word,swbd_disf1,True,False,trying_pos_tags
22,elman,0.005,False,1000000,1,9,50,50,150,swbd_disf_train_1,nll,L2(0.00001),True,False,swbd_clean_50,True,word,swbd_disf1,True,False,trying_pos_tags
23,elman,0.005,False,1000000,3,9,50,50,150,swbd_disf_train_1,nll,L2(0.00001),True,False,swbd_clean_50,True,word,swbd_disf1,True,False,trying_pos_tags_on_best_context
24,elman,0.005,False,1000000,2,9,50,50,150,swbd_disf_train_1_2,nll,L2(0.00001),True,False,swbd_clean_50,True,word,swbd_disf1,True,False,trying_bigger_updates_not_done_weights_saved
25,elman,0.005,False,1000000,2,9,50,50,150,swbd_disf_train_1_2,nll,L2(0.00001),True,False,swbd_clean_50,True,word,swbd_disf1,True,False,trying_bigger_updates_weights_saved
26,elman,0.005,False,1000000,2,9,50,50,150,swbd_disf_train_1_2,nll,L2(0.00001),True,False,swbd_clean_50,True,utterance,swbd_disf1,True,False,much_faster_epoch_13.5minutes_slower_convergence
